id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,period_yield_pct,asset_growth_pct,growth_factor,cumulative_growth,period_yield_pct_cumprod
6898,Presztízs- és luxusmárkák rv. ea.,2026-05-13,3.2944,2026-05-14,3.3194,0.0076,-0.4292,1.0076,1.0638,6.38
6899,USA részvény eszközalap,2026-05-13,4.872,2026-05-14,4.9267,0.0112,0.2717,1.0112,1.0208,2.08
6900,Ázsia kötvény eszközalap,2026-05-13,2.252,2026-05-14,2.2572,0.0023,0.0578,1.0023,1.04,4.0
6901,Aktív hozamfigyelõ vegyes eszközalap - D,2026-05-14,0.9501,2026-05-15,0.9537,0.0038,0.2004,1.0038,1.0048,0.48
6902,Euró likviditás eszközalap - D,2026-05-14,0.9219,2026-05-15,0.9228,0.001,0.0,1.001,0.9974,-0.26
6903,Európai ingatlancégek részv. eszközalap,2026-05-14,1.8126,2026-05-15,1.8293,0.0092,-0.1487,1.0092,1.0065,0.65
6904,Európai kötvény eszközalap - D,2026-05-14,1.2189,2026-05-15,1.2227,0.0031,-0.0246,1.0031,0.9928,-0.72
6905,Európai részvény eszközalap,2026-05-14,2.8445,2026-05-15,2.8784,0.0119,1.03,1.0119,1.1001,10.01
6906,Európai vállalati kötvény eszközalap,2026-05-14,1.3191,2026-05-15,1.3226,0.0027,-0.0076,1.0027,1.0083,0.83
6907,Fejlõdõ piaci részvény ESG eszközalap-D,2026-05-14,1.335,2026-05-15,1.3453,0.0077,2.0564,1.0077,1.1065,10.65
6908,Fejlõdõ ázsiai részvény eszközalap,2026-05-14,3.3175,2026-05-15,3.3357,0.0055,1.3225,1.0055,1.3849,38.49
6909,Fenntartható növekedés részvény eszk.,2026-05-14,3.1644,2026-05-15,3.1889,0.0077,0.7193,1.0077,0.9585,-4.15
6910,Globális egészségügyi részvény eszk.,2026-05-14,3.3956,2026-05-15,3.3955,0.0,1.446,1.0,1.0434,4.34
6911,Globális növekedési részvény eszközalap,2026-05-14,2.1435,2026-05-15,2.1658,0.0104,0.8326,1.0104,0.9194,-8.06
6912,Kiegyensúlyozott vegyes eszközalap - D,2026-05-14,1.4808,2026-05-15,1.4906,0.0066,0.3864,1.0066,1.0404,4.04
6913,Latin-amerikai részvény eszközalap,2026-05-14,1.4205,2026-05-15,1.416,-0.0032,0.7233,0.9968,1.2436,24.36
6914,Magas kötvény arányú vegyes eszk. - D,2026-05-14,1.1248,2026-05-15,1.1307,0.0052,0.196,1.0052,1.017,1.7
6915,Magas védelmû vegyes eszközalap,2026-05-14,1.1129,2026-05-15,1.1156,0.0024,0.1169,1.0024,1.0179,1.79
6916,Nemz. élelmiszeripari cégek rv. ea - D,2026-05-14,3.3563,2026-05-15,3.3916,0.0105,0.1223,1.0105,1.1003,10.03
6917,Nyersanyagpiaci részvény eszközalap,2026-05-14,1.7192,2026-05-15,1.7168,-0.0014,2.1691,0.9986,1.1466,14.66
6918,Presztízs- és luxusmárkák rv. ea.,2026-05-14,3.3194,2026-05-15,3.3557,0.011,0.7589,1.011,1.0755,7.55
6919,USA részvény eszközalap,2026-05-14,4.9267,2026-05-15,4.9852,0.0119,1.1227,1.0119,1.033,3.3
6920,Ázsia kötvény eszközalap,2026-05-14,2.2572,2026-05-15,2.2575,0.0001,0.2309,1.0001,1.0401,4.01
6921,Aktív hozamfigyelõ vegyes eszközalap - D,2026-05-15,0.9537,2026-05-16,0.9465,-0.0075,0.3789,0.9925,0.9973,-0.27
6922,Euró likviditás eszközalap - D,2026-05-15,0.9228,2026-05-16,0.9216,-0.0013,0.0976,0.9987,0.9961,-0.39
6923,Európai ingatlancégek részv. eszközalap,2026-05-15,1.8293,2026-05-16,1.7892,-0.0219,0.9213,0.9781,0.9845,-1.55
6924,Európai kötvény eszközalap - D,2026-05-15,1.2227,2026-05-16,1.2159,-0.0056,0.3118,0.9944,0.9873,-1.27
6925,Európai részvény eszközalap,2026-05-15,2.8784,2026-05-16,2.83,-0.0168,1.1918,0.9832,1.0816,8.16
6926,Európai vállalati kötvény eszközalap,2026-05-15,1.3226,2026-05-16,1.3178,-0.0036,0.2653,0.9964,1.0047,0.47
6927,Fejlõdõ piaci részvény ESG eszközalap-D,2026-05-15,1.3453,2026-05-16,1.3031,-0.0313,0.7715,0.9687,1.0718,7.18
6928,Fejlõdõ ázsiai részvény eszközalap,2026-05-15,3.3357,2026-05-16,3.2076,-0.0384,0.5486,0.9616,1.3317,33.17
6929,Fenntartható növekedés részvény eszk.,2026-05-15,3.1889,2026-05-16,3.1636,-0.0079,0.7742,0.9921,0.951,-4.9
6930,Globális egészségügyi részvény eszk.,2026-05-15,3.3955,2026-05-16,3.3775,-0.0053,-0.0029,0.9947,1.0378,3.78
6931,Globális növekedési részvény eszközalap,2026-05-15,2.1658,2026-05-16,2.1422,-0.0109,1.0404,0.9891,0.9094,-9.06
6932,Kiegyensúlyozott vegyes eszközalap - D,2026-05-15,1.4906,2026-05-16,1.4784,-0.0082,0.6618,0.9918,1.0319,3.19
6933,Latin-amerikai részvény eszközalap,2026-05-15,1.416,2026-05-16,1.3743,-0.0294,-0.3168,0.9706,1.207,20.7
6934,Magas kötvény arányú vegyes eszk. - D,2026-05-15,1.1307,2026-05-16,1.1223,-0.0074,0.5245,0.9926,1.0095,0.95
6935,Magas védelmû vegyes eszközalap,2026-05-15,1.1156,2026-05-16,1.1122,-0.003,0.2426,0.997,1.0148,1.48
6936,Nemz. élelmiszeripari cégek rv. ea - D,2026-05-15,3.3916,2026-05-16,3.3936,0.0006,1.0518,1.0006,1.1009,10.09
6937,Nyersanyagpiaci részvény eszközalap,2026-05-15,1.7168,2026-05-16,1.6511,-0.0382,-0.1396,0.9618,1.1028,10.28
6938,Presztízs- és luxusmárkák rv. ea.,2026-05-15,3.3557,2026-05-16,3.3029,-0.0157,1.0936,0.9843,1.0586,5.86
6939,USA részvény eszközalap,2026-05-15,4.9852,2026-05-16,4.9448,-0.0081,1.1874,0.9919,1.0246,2.46
6940,Ázsia kötvény eszközalap,2026-05-15,2.2575,2026-05-16,2.2636,0.0027,0.0133,1.0027,1.0429,4.29
6941,Aktív hozamfigyelõ vegyes eszközalap - D,2026-05-16,0.9465,2026-05-16,0.9465,0.0,-0.755,1.0,0.9973,-0.27
6942,Euró likviditás eszközalap - D,2026-05-16,0.9216,2026-05-16,0.9216,0.0,-0.13,1.0,0.9961,-0.39
6943,Európai ingatlancégek részv. eszközalap,2026-05-16,1.7892,2026-05-16,1.7892,0.0,-2.1921,1.0,0.9845,-1.55
6944,Európai kötvény eszközalap - D,2026-05-16,1.2159,2026-05-16,1.2159,0.0,-0.5561,1.0,0.9873,-1.27
6945,Európai részvény eszközalap,2026-05-16,2.83,2026-05-16,2.83,0.0,-1.6815,1.0,1.0816,8.16
6946,Európai vállalati kötvény eszközalap,2026-05-16,1.3178,2026-05-16,1.3178,0.0,-0.3629,1.0,1.0047,0.47
6947,Fejlõdõ piaci részvény ESG eszközalap-D,2026-05-16,1.3031,2026-05-16,1.3031,0.0,-3.1368,1.0,1.0718,7.18
6948,Fejlõdõ ázsiai részvény eszközalap,2026-05-16,3.2076,2026-05-16,3.2076,0.0,-3.8403,1.0,1.3317,33.17
6949,Fenntartható növekedés részvény eszk.,2026-05-16,3.1636,2026-05-16,3.1636,0.0,-0.7934,1.0,0.951,-4.9
6950,Globális egészségügyi részvény eszk.,2026-05-16,3.3775,2026-05-16,3.3775,0.0,-0.5301,1.0,1.0378,3.78
6951,Globális növekedési részvény eszközalap,2026-05-16,2.1422,2026-05-16,2.1422,0.0,-1.0897,1.0,0.9094,-9.06
6952,Kiegyensúlyozott vegyes eszközalap - D,2026-05-16,1.4784,2026-05-16,1.4784,0.0,-0.8185,1.0,1.0319,3.19
6953,Latin-amerikai részvény eszközalap,2026-05-16,1.3743,2026-05-16,1.3743,0.0,-2.9449,1.0,1.207,20.7
6954,Magas kötvény arányú vegyes eszk. - D,2026-05-16,1.1223,2026-05-16,1.1223,0.0,-0.7429,1.0,1.0095,0.95
6955,Magas védelmû vegyes eszközalap,2026-05-16,1.1122,2026-05-16,1.1122,0.0,-0.3048,1.0,1.0148,1.48
6956,Nemz. élelmiszeripari cégek rv. ea - D,2026-05-16,3.3936,2026-05-16,3.3936,0.0,0.059,1.0,1.1009,10.09
6957,Nyersanyagpiaci részvény eszközalap,2026-05-16,1.6511,2026-05-16,1.6511,0.0,-3.8269,1.0,1.1028,10.28
6958,Presztízs- és luxusmárkák rv. ea.,2026-05-16,3.3029,2026-05-16,3.3029,0.0,-1.5734,1.0,1.0586,5.86
6959,USA részvény eszközalap,2026-05-16,4.9448,2026-05-16,4.9448,0.0,-0.8104,1.0,1.0246,2.46
6960,Ázsia kötvény eszközalap,2026-05-16,2.2636,2026-05-16,2.2636,0.0,0.2702,1.0,1.0429,4.29
6961,Aktív hozamfigyelõ vegyes eszközalap - D,2026-05-17,0.9465,2026-05-17,0.9465,0.0,0.0,1.0,0.9973,-0.27
6962,Euró likviditás eszközalap - D,2026-05-17,0.9216,2026-05-17,0.9216,0.0,0.0,1.0,0.9961,-0.39
6963,Európai ingatlancégek részv. eszközalap,2026-05-17,1.7892,2026-05-17,1.7892,0.0,0.0,1.0,0.9845,-1.55
6964,Európai kötvény eszközalap - D,2026-05-17,1.2159,2026-05-17,1.2159,0.0,0.0,1.0,0.9873,-1.27
6965,Európai részvény eszközalap,2026-05-17,2.83,2026-05-17,2.83,0.0,0.0,1.0,1.0816,8.16
6966,Európai vállalati kötvény eszközalap,2026-05-17,1.3178,2026-05-17,1.3178,0.0,0.0,1.0,1.0047,0.47
6967,Fejlõdõ piaci részvény ESG eszközalap-D,2026-05-17,1.3031,2026-05-17,1.3031,0.0,0.0,1.0,1.0718,7.18
6968,Fejlõdõ ázsiai részvény eszközalap,2026-05-17,3.2076,2026-05-17,3.2076,0.0,0.0,1.0,1.3317,33.17
6969,Fenntartható növekedés részvény eszk.,2026-05-17,3.1636,2026-05-17,3.1636,0.0,0.0,1.0,0.951,-4.9
6970,Globális egészségügyi részvény eszk.,2026-05-17,3.3775,2026-05-17,3.3775,0.0,0.0,1.0,1.0378,3.78
6971,Globális növekedési részvény eszközalap,2026-05-17,2.1422,2026-05-17,2.1422,0.0,0.0,1.0,0.9094,-9.06
6972,Kiegyensúlyozott vegyes eszközalap - D,2026-05-17,1.4784,2026-05-17,1.4784,0.0,0.0,1.0,1.0319,3.19
6973,Latin-amerikai részvény eszközalap,2026-05-17,1.3743,2026-05-17,1.3743,0.0,0.0,1.0,1.207,20.7
6974,Magas kötvény arányú vegyes eszk. - D,2026-05-17,1.1223,2026-05-17,1.1223,0.0,0.0,1.0,1.0095,0.95
6975,Magas védelmû vegyes eszközalap,2026-05-17,1.1122,2026-05-17,1.1122,0.0,0.0,1.0,1.0148,1.48
6976,Nemz. élelmiszeripari cégek rv. ea - D,2026-05-17,3.3936,2026-05-17,3.3936,0.0,0.0,1.0,1.1009,10.09
6977,Nyersanyagpiaci részvény eszközalap,2026-05-17,1.6511,2026-05-17,1.6511,0.0,0.0,1.0,1.1028,10.28
6978,Presztízs- és luxusmárkák rv. ea.,2026-05-17,3.3029,2026-05-17,3.3029,0.0,0.0,1.0,1.0586,5.86
6979,USA részvény eszközalap,2026-05-17,4.9448,2026-05-17,4.9448,0.0,0.0,1.0,1.0246,2.46
6980,Ázsia kötvény eszközalap,2026-05-17,2.2636,2026-05-17,2.2636,0.0,0.0,1.0,1.0429,4.29
6981,Aktív hozamfigyelõ vegyes eszközalap - D,2026-05-18,0.9465,2026-05-18,0.9465,0.0,0.0,1.0,0.9973,-0.27
6982,Euró likviditás eszközalap - D,2026-05-18,0.9216,2026-05-18,0.9216,0.0,0.0,1.0,0.9961,-0.39
6983,Európai ingatlancégek részv. eszközalap,2026-05-18,1.7892,2026-05-18,1.7892,0.0,0.0,1.0,0.9845,-1.55
6984,Európai kötvény eszközalap - D,2026-05-18,1.2159,2026-05-18,1.2159,0.0,0.0,1.0,0.9873,-1.27
6985,Európai részvény eszközalap,2026-05-18,2.83,2026-05-18,2.83,0.0,0.0,1.0,1.0816,8.16
6986,Európai vállalati kötvény eszközalap,2026-05-18,1.3178,2026-05-18,1.3178,0.0,0.0,1.0,1.0047,0.47
6987,Fejlõdõ piaci részvény ESG eszközalap-D,2026-05-18,1.3031,2026-05-18,1.3031,0.0,0.0,1.0,1.0718,7.18
6988,Fejlõdõ ázsiai részvény eszközalap,2026-05-18,3.2076,2026-05-18,3.2076,0.0,0.0,1.0,1.3317,33.17
6989,Fenntartható növekedés részvény eszk.,2026-05-18,3.1636,2026-05-18,3.1636,0.0,0.0,1.0,0.951,-4.9
6990,Globális egészségügyi részvény eszk.,2026-05-18,3.3775,2026-05-18,3.3775,0.0,0.0,1.0,1.0378,3.78
6991,Globális növekedési részvény eszközalap,2026-05-18,2.1422,2026-05-18,2.1422,0.0,0.0,1.0,0.9094,-9.06
6992,Kiegyensúlyozott vegyes eszközalap - D,2026-05-18,1.4784,2026-05-18,1.4784,0.0,0.0,1.0,1.0319,3.19
6993,Latin-amerikai részvény eszközalap,2026-05-18,1.3743,2026-05-18,1.3743,0.0,0.0,1.0,1.207,20.7
6994,Magas kötvény arányú vegyes eszk. - D,2026-05-18,1.1223,2026-05-18,1.1223,0.0,0.0,1.0,1.0095,0.95
6995,Magas védelmû vegyes eszközalap,2026-05-18,1.1122,2026-05-18,1.1122,0.0,0.0,1.0,1.0148,1.48
6996,Nemz. élelmiszeripari cégek rv. ea - D,2026-05-18,3.3936,2026-05-18,3.3936,0.0,0.0,1.0,1.1009,10.09
6997,Nyersanyagpiaci részvény eszközalap,2026-05-18,1.6511,2026-05-18,1.6511,0.0,0.0,1.0,1.1028,10.28
6998,Presztízs- és luxusmárkák rv. ea.,2026-05-18,3.3029,2026-05-18,3.3029,0.0,0.0,1.0,1.0586,5.86
6999,USA részvény eszközalap,2026-05-18,4.9448,2026-05-18,4.9448,0.0,0.0,1.0,1.0246,2.46
7000,Ázsia kötvény eszközalap,2026-05-18,2.2636,2026-05-18,2.2636,0.0,0.0,1.0,1.0429,4.29
7001,Aktív hozamfigyelõ vegyes eszközalap - D,2026-05-19,0.9466,2026-05-20,0.944,-0.0027,0.0106,0.9973,0.9946,-0.54
7002,Euró likviditás eszközalap - D,2026-05-19,0.9219,2026-05-20,0.9215,-0.0004,0.0326,0.9996,0.9957,-0.43
7003,Európai ingatlancégek részv. eszközalap,2026-05-19,1.8096,2026-05-20,1.8127,0.0017,1.1402,1.0017,0.9862,-1.38
7004,Európai kötvény eszközalap - D,2026-05-19,1.2157,2026-05-20,1.2138,-0.0016,-0.0164,0.9984,0.9857,-1.43
7005,Európai részvény eszközalap,2026-05-19,2.8457,2026-05-20,2.8428,-0.001,0.5548,0.999,1.0805,8.05
7006,Európai vállalati kötvény eszközalap,2026-05-19,1.3177,2026-05-20,1.3174,-0.0003,-0.0076,0.9997,1.0044,0.44
7007,Fejlõdõ piaci részvény ESG eszközalap-D,2026-05-19,1.2989,2026-05-20,1.2854,-0.0104,-0.3223,0.9896,1.0607,6.07
7008,Fejlõdõ ázsiai részvény eszközalap,2026-05-19,3.2595,2026-05-20,3.1758,-0.0257,1.618,0.9742999999999999,1.2975,29.75
7009,Fenntartható növekedés részvény eszk.,2026-05-19,3.1711,2026-05-20,3.1637,-0.0023,0.2371,0.9977,0.9488,-5.12
7010,Globális egészségügyi részvény eszk.,2026-05-19,3.3568,2026-05-20,3.3721,0.0046,-0.6129,1.0046,1.0426,4.26
7011,Globális növekedési részvény eszközalap,2026-05-19,2.1443,2026-05-20,2.1275,-0.0078,0.098,0.9922,0.9023,-9.77
7012,Kiegyensúlyozott vegyes eszközalap - D,2026-05-19,1.4779,2026-05-20,1.4724,-0.0037,-0.0338,0.9963,1.0281,2.81
7013,Latin-amerikai részvény eszközalap,2026-05-19,1.3899,2026-05-20,1.3724,-0.0126,1.1351,0.9874,1.1918,19.18
7014,Magas kötvény arányú vegyes eszk. - D,2026-05-19,1.122,2026-05-20,1.1188,-0.0029,-0.0267,0.9971,1.0066,0.66
7015,Magas védelmû vegyes eszközalap,2026-05-19,1.1129,2026-05-20,1.1137,0.0007,0.0629,1.0007,1.0155,1.55
7016,Nemz. élelmiszeripari cégek rv. ea - D,2026-05-19,3.4085,2026-05-20,3.4624,0.0158,0.4391,1.0158,1.1183,11.83
7017,Nyersanyagpiaci részvény eszközalap,2026-05-19,1.6476,2026-05-20,1.6164,-0.0189,-0.212,0.9811,1.082,8.2
7018,Presztízs- és luxusmárkák rv. ea.,2026-05-19,3.2929,2026-05-20,3.2885,-0.0013,-0.3028,0.9987,1.0572,5.72
7019,USA részvény eszközalap,2026-05-19,4.9361,2026-05-20,4.9157,-0.0041,-0.1759,0.9959,1.0204,2.04
7020,Ázsia kötvény eszközalap,2026-05-19,2.2572,2026-05-20,2.26,0.0012,-0.2827,1.0012,1.0442,4.42
7021,Aktív hozamfigyelõ vegyes eszközalap - D,2026-05-20,0.944,2026-05-21,0.9504,0.0067,-0.2747,1.0067,1.0012,0.12
7022,Euró likviditás eszközalap - D,2026-05-20,0.9215,2026-05-21,0.923,0.0016,-0.0434,1.0016,0.9973,-0.27
7023,Európai ingatlancégek részv. eszközalap,2026-05-20,1.8127,2026-05-21,1.8498,0.0205,0.1713,1.0205,1.0064,0.64
7024,Európai kötvény eszközalap - D,2026-05-20,1.2138,2026-05-21,1.221,0.006,-0.1563,1.006,0.9916,-0.84
7025,Európai részvény eszközalap,2026-05-20,2.8428,2026-05-21,2.9011,0.0205,-0.1019,1.0205,1.1027,10.27
7026,Európai vállalati kötvény eszközalap,2026-05-20,1.3174,2026-05-21,1.3206,0.0024,-0.0228,1.0024,1.0068,0.68
7027,Fejlõdõ piaci részvény ESG eszközalap-D,2026-05-20,1.2854,2026-05-21,1.3081,0.0176,-1.0393,1.0176,1.0793,7.93
7028,Fejlõdõ ázsiai részvény eszközalap,2026-05-20,3.1758,2026-05-21,3.2063,0.0096,-2.5679,1.0096,1.3099,30.99
7029,Fenntartható növekedés részvény eszk.,2026-05-20,3.1637,2026-05-21,3.1944,0.0097,-0.2334,1.0097,0.958,-4.2
7030,Globális egészségügyi részvény eszk.,2026-05-20,3.3721,2026-05-21,3.39,0.0053,0.4558,1.0053,1.0481,4.81
7031,Globális növekedési részvény eszközalap,2026-05-20,2.1275,2026-05-21,2.1483,0.0098,-0.7835,1.0098,0.9111,-8.89
7032,Kiegyensúlyozott vegyes eszközalap - D,2026-05-20,1.4724,2026-05-21,1.4821,0.0066,-0.3721,1.0066,1.0349,3.49
7033,Latin-amerikai részvény eszközalap,2026-05-20,1.3724,2026-05-21,1.4031,0.0223,-1.2591,1.0223,1.2184,21.84
7034,Magas kötvény arányú vegyes eszk. - D,2026-05-20,1.1188,2026-05-21,1.1258,0.0063,-0.2852,1.0063,1.0129,1.29
7035,Magas védelmû vegyes eszközalap,2026-05-20,1.1137,2026-05-21,1.1175,0.0033,0.0719,1.0033,1.0189,1.89
7036,Nemz. élelmiszeripari cégek rv. ea - D,2026-05-20,3.4624,2026-05-21,3.4453,-0.0049,1.5813,0.9951,1.1128,11.28
7037,Nyersanyagpiaci részvény eszközalap,2026-05-20,1.6164,2026-05-21,1.6381,0.0134,-1.8937,1.0134,1.0965,9.65
7038,Presztízs- és luxusmárkák rv. ea.,2026-05-20,3.2885,2026-05-21,3.3396,0.0156,-0.1336,1.0156,1.0737,7.37
7039,USA részvény eszközalap,2026-05-20,4.9157,2026-05-21,4.9563,0.0083,-0.4133,1.0083,1.0289,2.89
7040,Ázsia kötvény eszközalap,2026-05-20,2.26,2026-05-21,2.2644,0.0019,0.124,1.0019,1.0462,4.62
7041,Aktív hozamfigyelõ vegyes eszközalap - D,2026-05-21,0.9504,2026-05-22,0.9527,0.0025,0.678,1.0025,1.0038,0.38
7042,Euró likviditás eszközalap - D,2026-05-21,0.923,2026-05-22,0.9227,-0.0003,0.1628,0.9997,0.997,-0.3
7043,Európai ingatlancégek részv. eszközalap,2026-05-21,1.8498,2026-05-22,1.8452,-0.0025,2.0467,0.9975,1.0039,0.39
7044,Európai kötvény eszközalap - D,2026-05-21,1.221,2026-05-22,1.2208,-0.0002,0.5932,0.9998,0.9914,-0.86
7045,Európai részvény eszközalap,2026-05-21,2.9011,2026-05-22,2.8925,-0.003,2.0508,0.997,1.0994,9.94
7046,Európai vállalati kötvény eszközalap,2026-05-21,1.3206,2026-05-22,1.3208,0.0002,0.2429,1.0002,1.007,0.7
7047,Fejlõdõ piaci részvény ESG eszközalap-D,2026-05-21,1.3081,2026-05-22,1.3173,0.007,1.766,1.007,1.0869,8.69
7048,Fejlõdõ ázsiai részvény eszközalap,2026-05-21,3.2063,2026-05-22,3.2568,0.0158,0.9604,1.0158,1.3306,33.06
7049,Fenntartható növekedés részvény eszk.,2026-05-21,3.1944,2026-05-22,3.2195,0.0079,0.9704,1.0079,0.9656,-3.44
7050,Globális egészségügyi részvény eszk.,2026-05-21,3.39,2026-05-22,3.3925,0.0007,0.5308,1.0007,1.0489,4.89
7051,Globális növekedési részvény eszközalap,2026-05-21,2.1483,2026-05-22,2.1509,0.0012,0.9777,1.0012,0.9122,-8.78
7052,Kiegyensúlyozott vegyes eszközalap - D,2026-05-21,1.4821,2026-05-22,1.4874,0.0036,0.6588,1.0036,1.0386,3.86
7053,Latin-amerikai részvény eszközalap,2026-05-21,1.4031,2026-05-22,1.3993,-0.0027,2.237,0.9973,1.2151,21.51
7054,Magas kötvény arányú vegyes eszk. - D,2026-05-21,1.1258,2026-05-22,1.1279,0.0019,0.6257,1.0019,1.0148,1.48
7055,Magas védelmû vegyes eszközalap,2026-05-21,1.1175,2026-05-22,1.1175,0.0,0.3412,1.0,1.0189,1.89
7056,Nemz. élelmiszeripari cégek rv. ea - D,2026-05-21,3.4453,2026-05-22,3.3855,-0.0174,-0.4939,0.9826,1.0935,9.35
7057,Nyersanyagpiaci részvény eszközalap,2026-05-21,1.6381,2026-05-22,1.6451,0.0042,1.3425,1.0042,1.1011,10.11
7058,Presztízs- és luxusmárkák rv. ea.,2026-05-21,3.3396,2026-05-22,3.3563,0.005,1.5539,1.005,1.0791,7.91
7059,USA részvény eszközalap,2026-05-21,4.9563,2026-05-22,4.9718,0.0031,0.8259,1.0031,1.0321,3.21
7060,Ázsia kötvény eszközalap,2026-05-21,2.2644,2026-05-22,2.2628,-0.0007,0.1947,0.9993,1.0454,4.54
7061,Aktív hozamfigyelõ vegyes eszközalap - D,2026-05-22,0.9527,2026-05-23,0.9553,0.0027,0.242,1.0027,1.0065,0.65
7062,Euró likviditás eszközalap - D,2026-05-22,0.9227,2026-05-23,0.9235,0.0008,-0.0325,1.0008,0.9978,-0.22
7063,Európai ingatlancégek részv. eszközalap,2026-05-22,1.8452,2026-05-23,1.847,0.001,-0.2487,1.001,1.0049,0.49
7064,Európai kötvény eszközalap - D,2026-05-22,1.2208,2026-05-23,1.2257,0.004,-0.0164,1.004,0.9954,-0.46
7065,Európai részvény eszközalap,2026-05-22,2.8925,2026-05-23,2.9225,0.0104,-0.2964,1.0104,1.1108,11.08
7066,Európai vállalati kötvény eszközalap,2026-05-22,1.3208,2026-05-23,1.3245,0.0028,0.0151,1.0028,1.0098,0.98
7067,Fejlõdõ piaci részvény ESG eszközalap-D,2026-05-22,1.3173,2026-05-23,1.3255,0.0062,0.7033,1.0062,1.0936,9.36
7068,Fejlõdõ ázsiai részvény eszközalap,2026-05-22,3.2568,2026-05-23,3.2914,0.0106,1.575,1.0106,1.3447,34.47
7069,Fenntartható növekedés részvény eszk.,2026-05-22,3.2195,2026-05-23,3.2374,0.0055,0.7858,1.0055,0.9709,-2.91
7070,Globális egészségügyi részvény eszk.,2026-05-22,3.3925,2026-05-23,3.4418,0.0145,0.0737,1.0145,1.0641,6.41
7071,Globális növekedési részvény eszközalap,2026-05-22,2.1509,2026-05-23,2.1838,0.0153,0.121,1.0153,0.9262,-7.38
7072,Kiegyensúlyozott vegyes eszközalap - D,2026-05-22,1.4874,2026-05-23,1.4944,0.0047,0.3576,1.0047,1.0435,4.35
7073,Latin-amerikai részvény eszközalap,2026-05-22,1.3993,2026-05-23,1.3904,-0.0063,-0.2708,0.9937,1.2075,20.75
7074,Magas kötvény arányú vegyes eszk. - D,2026-05-22,1.1279,2026-05-23,1.1327,0.0043,0.1865,1.0043,1.0192,1.92
7075,Magas védelmû vegyes eszközalap,2026-05-22,1.1175,2026-05-23,1.1191,0.0015,0.0,1.0015,1.0204,2.04
7076,Nemz. élelmiszeripari cégek rv. ea - D,2026-05-22,3.3855,2026-05-23,3.3911,0.0017,-1.7357,1.0017,1.0953,9.53
7077,Nyersanyagpiaci részvény eszközalap,2026-05-22,1.6451,2026-05-23,1.6579,0.0078,0.4273,1.0078,1.1097,10.97
7078,Presztízs- és luxusmárkák rv. ea.,2026-05-22,3.3563,2026-05-23,3.3803,0.0072,0.5001,1.0072,1.0869,8.69
7079,USA részvény eszközalap,2026-05-22,4.9718,2026-05-23,4.9781,0.0013,0.3127,1.0013,1.0334,3.34
7080,Ázsia kötvény eszközalap,2026-05-22,2.2628,2026-05-23,2.2679,0.0023,-0.0707,1.0023,1.0478,4.78
7081,Aktív hozamfigyelõ vegyes eszközalap - D,2026-05-23,0.9553,2026-05-23,0.9553,0.0,0.2729,1.0,1.0065,0.65
7082,Euró likviditás eszközalap - D,2026-05-23,0.9235,2026-05-23,0.9235,0.0,0.0867,1.0,0.9978,-0.22
7083,Európai ingatlancégek részv. eszközalap,2026-05-23,1.847,2026-05-23,1.847,0.0,0.0976,1.0,1.0049,0.49
7084,Európai kötvény eszközalap - D,2026-05-23,1.2257,2026-05-23,1.2257,0.0,0.4014,1.0,0.9954,-0.46
7085,Európai részvény eszközalap,2026-05-23,2.9225,2026-05-23,2.9225,0.0,1.0372,1.0,1.1108,11.08
7086,Európai vállalati kötvény eszközalap,2026-05-23,1.3245,2026-05-23,1.3245,0.0,0.2801,1.0,1.0098,0.98
7087,Fejlõdõ piaci részvény ESG eszközalap-D,2026-05-23,1.3255,2026-05-23,1.3255,0.0,0.6225,1.0,1.0936,9.36
7088,Fejlõdõ ázsiai részvény eszközalap,2026-05-23,3.2914,2026-05-23,3.2914,0.0,1.0624,1.0,1.3447,34.47
7089,Fenntartható növekedés részvény eszk.,2026-05-23,3.2374,2026-05-23,3.2374,0.0,0.556,1.0,0.9709,-2.91
7090,Globális egészségügyi részvény eszk.,2026-05-23,3.4418,2026-05-23,3.4418,0.0,1.4532,1.0,1.0641,6.41
7091,Globális növekedési részvény eszközalap,2026-05-23,2.1838,2026-05-23,2.1838,0.0,1.5296,1.0,0.9262,-7.38
7092,Kiegyensúlyozott vegyes eszközalap - D,2026-05-23,1.4944,2026-05-23,1.4944,0.0,0.4706,1.0,1.0435,4.35
7093,Latin-amerikai részvény eszközalap,2026-05-23,1.3904,2026-05-23,1.3904,0.0,-0.636,1.0,1.2075,20.75
7094,Magas kötvény arányú vegyes eszk. - D,2026-05-23,1.1327,2026-05-23,1.1327,0.0,0.4256,1.0,1.0192,1.92
7095,Magas védelmû vegyes eszközalap,2026-05-23,1.1191,2026-05-23,1.1191,0.0,0.1432,1.0,1.0204,2.04
7096,Nemz. élelmiszeripari cégek rv. ea - D,2026-05-23,3.3911,2026-05-23,3.3911,0.0,0.1654,1.0,1.0953,9.53
7097,Nyersanyagpiaci részvény eszközalap,2026-05-23,1.6579,2026-05-23,1.6579,0.0,0.7781,1.0,1.1097,10.97
7098,Presztízs- és luxusmárkák rv. ea.,2026-05-23,3.3803,2026-05-23,3.3803,0.0,0.7151,1.0,1.0869,8.69
7099,USA részvény eszközalap,2026-05-23,4.9781,2026-05-23,4.9781,0.0,0.1267,1.0,1.0334,3.34
