id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,period_yield_pct,asset_growth_pct,growth_factor,cumulative_growth,period_yield_pct_cumprod
136,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-09,3.2956,2025-06-09,3.2956,0.0,0.0,1.0,0.9947,-0.53
137,Nyersanyagpiaci részvény eszközalap,2025-06-09,1.3242,2025-06-09,1.3242,0.0,0.0,1.0,1.0114,1.14
138,Presztízs- és luxusmárkák rv. ea.,2025-06-09,3.3461,2025-06-09,3.3461,0.0,0.0,1.0,1.0015,0.15
139,USA részvény eszközalap,2025-06-09,4.1833,2025-06-09,4.1833,0.0,0.0,1.0,1.015,1.5
140,Ázsia kötvény eszközalap,2025-06-09,2.2331,2025-06-09,2.2331,0.0,0.0,1.0,1.0037,0.37
141,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-10,0.9252,2025-06-10,0.9252,0.0,0.0,1.0,1.0042,0.42
142,Euró likviditás eszközalap - D,2025-06-10,0.9238,2025-06-10,0.9238,0.0,0.0,1.0,0.9988,-0.12
143,Európai ingatlancégek részv. eszközalap,2025-06-10,1.8871,2025-06-10,1.8871,0.0,0.0,1.0,0.994,-0.6
144,Európai kötvény eszközalap - D,2025-06-10,1.2311,2025-06-10,1.2311,0.0,0.0,1.0,0.9978,-0.22
145,Európai részvény eszközalap,2025-06-10,2.5542,2025-06-10,2.5542,0.0,0.0,1.0,1.0132,1.32
146,Európai vállalati kötvény eszközalap,2025-06-10,1.3107,2025-06-10,1.3107,0.0,0.0,1.0,0.9985,-0.15
147,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-10,1.0344,2025-06-10,1.0344,0.0,0.0,1.0,1.0215,2.15
148,Fejlõdõ ázsiai részvény eszközalap,2025-06-10,1.9717,2025-06-10,1.9717,0.0,0.0,1.0,1.0273,2.73
149,Fenntartható növekedés részvény eszk.,2025-06-10,3.0579,2025-06-10,3.0579,0.0,0.0,1.0,1.0186,1.86
150,Globális egészségügyi részvény eszk.,2025-06-10,3.2178,2025-06-10,3.2178,0.0,0.0,1.0,1.0194,1.94
151,Globális növekedési részvény eszközalap,2025-06-10,2.2956,2025-06-10,2.2956,0.0,0.0,1.0,1.007,0.7
152,Kiegyensúlyozott vegyes eszközalap - D,2025-06-10,1.3737,2025-06-10,1.3737,0.0,0.0,1.0,1.0047,0.47
153,Latin-amerikai részvény eszközalap,2025-06-10,1.0903,2025-06-10,1.0903,0.0,0.0,1.0,1.0058,0.58
154,Magas kötvény arányú vegyes eszk. - D,2025-06-10,1.0927,2025-06-10,1.0927,0.0,0.0,1.0,1.0012,0.12
155,Magas védelmû vegyes eszközalap,2025-06-10,1.0942,2025-06-10,1.0942,0.0,0.0,1.0,1.0025,0.25
156,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-10,3.2956,2025-06-10,3.2956,0.0,0.0,1.0,0.9947,-0.53
