id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,yield_ratio,growth_factor,cumulative_growth,yield_ratio_cumprod,value_ma_50d,value_ma_100d,value_ma_200d,yield_ma_50d,yield_ma_100d,yield_ma_200d,ma50_diff,ma50_diff_ratio,ma100_diff,ma100_diff_ratio,ma200_diff,ma200_diff_ratio
4222,Euró likviditás eszközalap - D,2025-12-31,0.9259,2025-12-31,0.9259,0.0,1.0,0.9988,-0.0012,0.925574,0.9257940000000001,0.9252825,8e-06,2.5e-05,1.5000000000000013e-06,-0.00032599999999993745,-0.0003520898585159709,-0.00010599999999982845,-0.00011448320552956957,-0.0006174999999999375,-0.0006669186737227968
4223,Európai ingatlancégek részv. eszközalap,2025-12-31,1.8381,2025-12-31,1.8381,0.0,1.0,0.9237,-0.0763,1.816524,1.827283,1.838716,9.200000000000014e-05,0.000298,-0.00021949999999999997,-0.02157600000000004,-0.011738207932103823,-0.010817000000000077,-0.005884881127251007,0.0006159999999999499,0.0003351286654697513
4224,Európai kötvény eszközalap - D,2025-12-31,1.2315,2025-12-31,1.2315,0.0,1.0,0.9928,-0.0072,1.232116,1.233864,1.2316719999999999,-2.0000000000000334e-06,9.699999999999999e-05,-1.4500000000000012e-05,0.0006159999999999499,0.0005002030044660576,0.0023640000000000327,0.001919610231425118,0.00017199999999983895,0.00013966707267546808
4225,Európai részvény eszközalap,2025-12-31,2.7187,2025-12-31,2.7187,0.0,1.0,1.0131,0.0131,2.6712620000000005,2.658334,2.5931845000000004,0.00029400000000000004,0.00013299999999999995,0.00011599999999999999,-0.04743799999999965,-0.017448780667230532,-0.06036600000000014,-0.022203994556221775,-0.12551549999999967,-0.04616746974656993
4226,Európai vállalati kötvény eszközalap,2025-12-31,1.3252,2025-12-31,1.3252,0.0,1.0,1.0015,0.0015,1.325318,1.3271279999999999,1.3234020000000002,-1.3999999999999983e-05,3.700000000000002e-05,2.2000000000000006e-05,0.0001180000000000625,8.904316329615341e-05,0.0019279999999999298,0.0014548747358888695,-0.0017979999999997442,-0.0013567763356472566
4227,Fejlõdõ piaci részvény ESG eszközalap-D,2025-12-31,1.1464,2025-12-31,1.1464,0.0,1.0,0.9889,-0.0111,1.141554,1.138985,1.094309,-0.00028999999999999995,-0.000676,-3.0499999999999955e-05,-0.004846000000000128,-0.004227145847871709,-0.0074150000000001715,-0.006468073970691007,-0.05209100000000011,-0.0454387648290301
4228,Fejlõdõ ázsiai részvény eszközalap,2025-12-31,2.4221,2025-12-31,2.4221,0.0,1.0,1.1051,0.1051,2.386524,2.3673130000000002,2.236538,-0.0002620000000000001,0.000166,0.0004070000000000001,-0.03557599999999983,-0.014688080591222423,-0.0547869999999997,-0.02261962759588774,-0.185562,-0.07661203088229224
4229,Fenntartható növekedés részvény eszk.,2025-12-31,3.2023,2025-12-31,3.2023,0.0,1.0,0.9738,-0.0262,3.1833079999999994,3.1755220000000004,3.115248,-0.0001260000000000001,-0.000256,-9.3e-05,-0.018992000000000786,-0.005930737282578392,-0.026777999999999746,-0.008362114730037706,-0.08705200000000035,-0.027184211348093665
4230,Globális egészségügyi részvény eszk.,2025-12-31,3.605,2025-12-31,3.605,0.0,1.0,1.1064,0.1064,3.5707480000000005,3.468862,3.3398054999999998,0.0004880000000000001,0.0007740000000000001,0.00039250000000000005,-0.034251999999999505,-0.009501248266296673,-0.13613799999999987,-0.037763661581137274,-0.2651945000000002,-0.07356296809986136
4231,Globális növekedési részvény eszközalap,2025-12-31,2.1418,2025-12-31,2.1418,0.0,1.0,0.9285,-0.0715,2.142928,2.1604419999999998,2.193545,0.00018400000000000003,-0.00026500000000000004,-0.00029650000000000005,0.0011280000000000179,0.0005266598188439714,0.018641999999999825,0.008703893921000946,0.05174499999999993,0.02415958539546173
4232,Kiegyensúlyozott vegyes eszközalap - D,2025-12-31,1.4412,2025-12-31,1.4412,0.0,1.0,1.015,0.015,1.43481,1.433197,1.410919,-8.200000000000004e-05,-4.4000000000000026e-05,0.00010200000000000001,-0.006390000000000118,-0.004433805162364778,-0.008002999999999982,-0.005553011379406038,-0.030281000000000002,-0.021010963086316958
4233,Latin-amerikai részvény eszközalap,2025-12-31,1.2487,2025-12-31,1.2487,0.0,1.0,1.0716,0.0716,1.241794,1.204574,1.1477155,5.800000000000003e-05,7.599999999999996e-05,0.0003995,-0.006905999999999857,-0.005530551773844684,-0.04412599999999989,-0.035337551053095134,-0.10098449999999981,-0.08087170657483768
4234,Magas kötvény arányú vegyes eszk. - D,2025-12-31,1.1169,2025-12-31,1.1169,0.0,1.0,1.0032,0.0032,1.115448,1.116283,1.1070115,-5.6000000000000006e-05,8e-06,4e-05,-0.0014520000000000088,-0.0013000268600591,-0.0006170000000000897,-0.0005524218819948874,-0.009888499999999967,-0.008853523144417555
4235,Magas védelmû vegyes eszközalap,2025-12-31,1.1108,2025-12-31,1.1108,0.0,1.0,1.0054,0.0054,1.10331,1.101972,1.0963545000000001,9.2e-05,4.4999999999999996e-05,4.15e-05,-0.007489999999999997,-0.0067428880086424165,-0.008828000000000058,-0.007947425279078194,-0.014445499999999889,-0.013004591285559856
4236,Nemz. élelmiszeripari cégek rv. ea - D,2025-12-31,3.1417,2025-12-31,3.1417,0.0,1.0,1.0084,0.0084,3.1558520000000003,3.145614,3.1619105000000003,0.00021600000000000005,0.0006429999999999999,0.00014649999999999998,0.014152000000000164,0.004504567590794845,0.003913999999999973,0.001245822325492559,0.02021050000000013,0.0064329821434255755
4237,Nyersanyagpiaci részvény eszközalap,2025-12-31,1.4778,2025-12-31,1.4778,0.0,1.0,1.0332,0.0332,1.424198,1.404401,1.367858,0.0012039999999999998,0.00018199999999999995,0.00018799999999999996,-0.05360199999999993,-0.03627148463932868,-0.07339899999999999,-0.04966774935715252,-0.10994199999999998,-0.07439572337258085
4238,Presztízs- és luxusmárkák rv. ea.,2025-12-31,3.7137,2025-12-31,3.7137,0.0,1.0,1.0354,0.0354,3.670586,3.637047,3.5518025,1.3999999999999907e-05,-0.00010099999999999997,0.000371,-0.04311399999999965,-0.011609446104962612,-0.07665299999999986,-0.02064060101785278,-0.1618974999999998,-0.04359466300455067
4239,USA részvény eszközalap,2025-12-31,4.6563,2025-12-31,4.6563,0.0,1.0,1.0133,0.0133,4.624752,4.598625,4.447085,5.400000000000009e-05,-0.00037900000000000005,0.00012450000000000002,-0.03154799999999991,-0.006775336640680349,-0.0576749999999997,-0.012386444172411507,-0.20921499999999948,-0.04493159804995372
4240,Ázsia kötvény eszközalap,2025-12-31,2.246,2025-12-31,2.246,0.0,1.0,1.0226,0.0226,2.2617360000000004,2.263172,2.2401915,-0.00023399999999999994,4.400000000000002e-05,0.0001415,0.015736000000000416,0.0070062333036511205,0.017171999999999965,0.007645592163846823,-0.005808500000000105,-0.00258615316117547
4241,Aktív hozamfigyelõ vegyes eszközalap - D,2026-01-01,0.9521,2026-01-01,0.9521,0.0,1.0,1.005,0.005,0.9518439999999999,0.951467,0.9423435000000001,-5.000000000000001e-05,-4.399999999999999e-05,3.9e-05,-0.000256000000000034,-0.0002688793193992585,-0.0006329999999999947,-0.0006648461296082289,-0.009756499999999835,-0.010247347967650283
4242,Euró likviditás eszközalap - D,2026-01-01,0.9259,2026-01-01,0.9259,0.0,1.0,0.9988,-0.0012,0.9255639999999999,0.9258069999999999,0.9252925000000001,6e-06,2.7000000000000002e-05,1.5000000000000013e-06,-0.00033600000000000296,-0.0003628901609245091,-9.300000000000974e-05,-0.0001004428123987577,-0.000607499999999872,-0.0006561183713142587
4243,Európai ingatlancégek részv. eszközalap,2026-01-01,1.838,2026-01-01,1.838,0.0,1.0,0.9237,-0.0763,1.81618,1.827702,1.838565,7.200000000000014e-05,0.00024099999999999998,-0.00021949999999999997,-0.021820000000000173,-0.011871599564744382,-0.01029800000000014,-0.005602829162132829,0.0005649999999999267,0.000307399347116391
4244,Európai kötvény eszközalap - D,2026-01-01,1.2316,2026-01-01,1.2316,0.0,1.0,0.9928,-0.0072,1.23197,1.233916,1.2316685,-2.0000000000000036e-05,0.00010499999999999999,-1.4500000000000012e-05,0.00036999999999998145,0.00030042221500485664,0.0023159999999999847,0.0018804806755439954,6.850000000002687e-05,5.561870737254537e-05
4245,Európai részvény eszközalap,2026-01-01,2.7163,2026-01-01,2.7163,0.0,1.0,1.0131,0.0131,2.6713780000000003,2.659708,2.5942895,0.00012200000000000002,9.499999999999995e-05,0.00011599999999999999,-0.044921999999999684,-0.016537937635754403,-0.056591999999999754,-0.020834223023966335,-0.12201050000000002,-0.0449179030298568
4246,Európai vállalati kötvény eszközalap,2026-01-01,1.3254,2026-01-01,1.3254,0.0,1.0,1.0015,0.0015,1.325234,1.327148,1.323466,-2.3999999999999984e-05,4.000000000000002e-05,2.2000000000000006e-05,-0.00016599999999988846,-0.00012524520899342726,0.0017480000000000828,0.0013188471404859535,-0.0019339999999998803,-0.001459182133695398
4247,Fejlõdõ piaci részvény ESG eszközalap-D,2026-01-01,1.1454,2026-01-01,1.1454,0.0,1.0,0.9889,-0.0111,1.141088,1.139271,1.094934,-0.00045,-0.000676,-3.0499999999999955e-05,-0.0043119999999998715,-0.0037646237122401535,-0.006129000000000051,-0.0053509690937664145,-0.0504659999999999,-0.04405971712938703
4248,Fejlõdõ ázsiai részvény eszközalap,2026-01-01,2.415,2026-01-01,2.415,0.0,1.0,1.1051,0.1051,2.386378,2.368901,2.238692,-0.0003180000000000001,0.000149,0.0004070000000000001,-0.028621999999999925,-0.0118517598343685,-0.04609899999999989,-0.019088612836438878,-0.17630800000000013,-0.07300538302277439
4249,Fenntartható növekedés részvény eszk.,2026-01-01,3.1866,2026-01-01,3.1866,0.0,1.0,0.9738,-0.0262,3.1819900000000003,3.176562,3.116257,-0.0001500000000000001,-0.000172,-9.3e-05,-0.004609999999999559,-0.0014466829849995478,-0.01003799999999977,-0.003150065900960199,-0.07034299999999982,-0.022074624992154592
4250,Globális egészségügyi részvény eszk.,2026-01-01,3.5973,2026-01-01,3.5973,0.0,1.0,1.1064,0.1064,3.5719580000000004,3.4721750000000005,3.34155,2.200000000000011e-05,0.0007340000000000001,0.00039250000000000005,-0.025341999999999754,-0.007044727990437203,-0.1251249999999997,-0.034783031718233035,-0.25575000000000037,-0.07109498790759747
4251,Globális növekedési részvény eszközalap,2026-01-01,2.1282,2026-01-01,2.1282,0.0,1.0,0.9285,-0.0715,2.14211,2.160127,2.1929805,0.00020600000000000005,-0.00019500000000000002,-0.00029650000000000005,0.013910000000000089,0.006536039845879188,0.03192700000000004,0.015001879522601277,0.06478049999999991,0.030439103467719154
4252,Kiegyensúlyozott vegyes eszközalap - D,2026-01-01,1.4382,2026-01-01,1.4382,0.0,1.0,1.015,0.015,1.434564,1.433453,1.4112844999999998,-0.00011800000000000005,-2.7000000000000033e-05,0.00010200000000000001,-0.0036359999999999726,-0.002528160200250294,-0.004746999999999835,-0.003300653594771127,-0.026915500000000092,-0.01871471283548887
4253,Latin-amerikai részvény eszközalap,2026-01-01,1.2487,2026-01-01,1.2487,0.0,1.0,1.0716,0.0716,1.24165,1.205277,1.1485554999999998,4.200000000000003e-05,-0.00013100000000000004,0.0003995,-0.007050000000000001,-0.005645871706574839,-0.04342299999999999,-0.03477456554817009,-0.10014450000000008,-0.08019900696724601
4254,Magas kötvény arányú vegyes eszk. - D,2026-01-01,1.1156,2026-01-01,1.1156,0.0,1.0,1.0032,0.0032,1.115252,1.1163800000000001,1.1071405,-8.400000000000001e-05,2e-05,4e-05,-0.00034800000000001496,-0.000311939763356055,0.000780000000000225,0.0006991753316602949,-0.008459499999999842,-0.007582915023305704
4255,Magas védelmû vegyes eszközalap,2026-01-01,1.1108,2026-01-01,1.1108,0.0,1.0,1.0054,0.0054,1.103368,1.102131,1.0964665,4.599999999999999e-05,2.7999999999999996e-05,4.15e-05,-0.007432000000000105,-0.006690673388548889,-0.008669000000000038,-0.007804285199855994,-0.014333499999999999,-0.012903763053655022
4256,Nemz. élelmiszeripari cégek rv. ea - D,2026-01-01,3.1416,2026-01-01,3.1416,0.0,1.0,1.0084,0.0084,3.155334,3.1463280000000005,3.1613995,0.00012000000000000004,0.000693,0.00014649999999999998,0.013733999999999913,0.004371657754010667,0.00472800000000051,0.0015049656226128437,0.01979949999999997,0.006302361853832433
4257,Nyersanyagpiaci részvény eszközalap,2026-01-01,1.4778,2026-01-01,1.4778,0.0,1.0,1.0332,0.0332,1.42548,1.405375,1.3686859999999998,0.00089,0.00013799999999999994,0.00018799999999999996,-0.05231999999999992,-0.03540397888753547,-0.07242499999999996,-0.04900866152388683,-0.10911400000000016,-0.07383543104614979
4258,Presztízs- és luxusmárkák rv. ea.,2026-01-01,3.6927,2026-01-01,3.6927,0.0,1.0,1.0354,0.0354,3.6699559999999996,3.637896,3.5539355,-0.0001620000000000001,-0.000247,0.000371,-0.02274400000000032,-0.0061591789205731095,-0.05480399999999985,-0.014841173125355392,-0.13876449999999974,-0.03757805941452047
4259,USA részvény eszközalap,2026-01-01,4.6264,2026-01-01,4.6264,0.0,1.0,1.0133,0.0133,4.623646,4.599958,4.4497875,5.200000000000009e-05,-0.0002910000000000001,0.00012450000000000002,-0.0027540000000003673,-0.0005952792668166106,-0.0264420000000003,-0.005715459104271204,-0.17661250000000006,-0.038174930831748236
4260,Ázsia kötvény eszközalap,2026-01-01,2.2525,2026-01-01,2.2525,0.0,1.0,1.0226,0.0226,2.2611440000000003,2.263465,2.240375,-0.00024199999999999995,8.000000000000002e-05,0.0001415,0.008644000000000318,0.003837513873474059,0.010965000000000114,0.004867924528301937,-0.012125000000000163,-0.005382907880133258
4261,Aktív hozamfigyelõ vegyes eszközalap - D,2026-01-02,0.9521,2026-01-02,0.9521,0.0,1.0,1.005,0.005,0.951828,0.951581,0.942498,9.999999999999999e-05,-2.6999999999999996e-05,3.9e-05,-0.00027199999999993896,-0.0002856842768616101,-0.0005189999999999362,-0.0005451108076882011,-0.009602,-0.01008507509715366
4262,Euró likviditás eszközalap - D,2026-01-02,0.9259,2026-01-02,0.9259,0.0,1.0,0.9988,-0.0012,0.9255639999999999,0.92582,0.9253024999999999,1.8e-05,2.7000000000000002e-05,1.5000000000000013e-06,-0.00033600000000000296,-0.0003628901609245091,-7.999999999996898e-05,-8.6402419267706e-05,-0.0005975000000000286,-0.0006453180689059602
4263,Európai ingatlancégek részv. eszközalap,2026-01-02,1.838,2026-01-02,1.838,0.0,1.0,0.9237,-0.0763,1.815716,1.828117,1.8384140000000002,8.000000000000133e-06,0.00023899999999999998,-0.00021949999999999997,-0.02228399999999997,-0.012124047878128383,-0.009883000000000086,-0.005377040261153474,0.0004140000000001365,0.00022524483133848556
4264,Európai kötvény eszközalap - D,2026-01-02,1.2316,2026-01-02,1.2316,0.0,1.0,0.9928,-0.0072,1.231876,1.23397,1.231665,2.3999999999999967e-05,0.00010599999999999999,-1.4500000000000012e-05,0.00027599999999994296,0.00022409873335493905,0.0023699999999999832,0.0019243260798960564,6.499999999998174e-05,5.277687560894912e-05
4265,Európai részvény eszközalap,2026-01-02,2.7163,2026-01-02,2.7163,0.0,1.0,1.0131,0.0131,2.6718,2.661085,2.5953945,0.00023600000000000002,9.599999999999993e-05,0.00011599999999999999,-0.04449999999999976,-0.016382579243824233,-0.055215000000000014,-0.020327283437028318,-0.12090550000000011,-0.044511099657622545
4266,Európai vállalati kötvény eszközalap,2026-01-02,1.3254,2026-01-02,1.3254,0.0,1.0,1.0015,0.0015,1.3251940000000002,1.327167,1.3235299999999999,1.0000000000000018e-05,3.900000000000001e-05,2.2000000000000006e-05,-0.00020599999999970642,-0.0001554247774254613,0.001767000000000074,0.0013331824354912284,-0.0018700000000000383,-0.001410894824204043
4267,Fejlõdõ piaci részvény ESG eszközalap-D,2026-01-02,1.1454,2026-01-02,1.1454,0.0,1.0,0.9889,-0.0111,1.140686,1.139547,1.0955590000000002,-0.000396,-0.0006850000000000001,-3.0499999999999955e-05,-0.004713999999999885,-0.0041155928060065345,-0.005852999999999886,-0.005110005238344584,-0.0498409999999998,-0.04351405622489943
4268,Fejlõdõ ázsiai részvény eszközalap,2026-01-02,2.415,2026-01-02,2.415,0.0,1.0,1.1051,0.1051,2.3862300000000003,2.370416,2.240846,-0.0003200000000000001,0.00011599999999999999,0.0004070000000000001,-0.02876999999999974,-0.011913043478260762,-0.04458399999999996,-0.01846128364389232,-0.17415400000000014,-0.07211345755693588
4269,Fenntartható növekedés részvény eszk.,2026-01-02,3.1866,2026-01-02,3.1866,0.0,1.0,0.9738,-0.0262,3.181886,3.1776679999999997,3.1172659999999994,0.00022399999999999992,-0.00015099999999999998,-9.3e-05,-0.004713999999999885,-0.0014793196510386887,-0.008932000000000162,-0.002802987510199009,-0.06933400000000045,-0.021757986568756812
4270,Globális egészségügyi részvény eszk.,2026-01-02,3.5973,2026-01-02,3.5973,0.0,1.0,1.1064,0.1064,3.5726059999999995,3.475722,3.3432945000000003,-0.00013599999999999992,0.0008060000000000001,0.00039250000000000005,-0.02469400000000066,-0.006864592889111461,-0.12157799999999996,-0.03379701442748727,-0.2540054999999999,-0.07061004086398129
4271,Globális növekedési részvény eszközalap,2026-01-02,2.1282,2026-01-02,2.1282,0.0,1.0,0.9285,-0.0715,2.141612,2.159841,2.192416,0.000354,-0.00018200000000000003,-0.00029650000000000005,0.013411999999999757,0.0063020392820222525,0.03164100000000003,0.014867493656611235,0.06421600000000005,0.030173855840616506
4272,Kiegyensúlyozott vegyes eszközalap - D,2026-01-02,1.4382,2026-01-02,1.4382,0.0,1.0,1.015,0.015,1.434524,1.433728,1.4116499999999998,2.399999999999996e-05,-1.4000000000000032e-05,0.00010200000000000001,-0.0036760000000000126,-0.002555972743707421,-0.0044720000000000315,-0.003109442358503707,-0.026550000000000074,-0.018460575719649614
4273,Latin-amerikai részvény eszközalap,2026-01-02,1.2487,2026-01-02,1.2487,0.0,1.0,1.0716,0.0716,1.24166,1.206065,1.1493955,0.00016400000000000006,-5.9000000000000045e-05,0.0003995,-0.007039999999999935,-0.005637863377912978,-0.04263499999999998,-0.03414350924961959,-0.0993044999999999,-0.07952630735965396
4274,Magas kötvény arányú vegyes eszk. - D,2026-01-02,1.1156,2026-01-02,1.1156,0.0,1.0,1.0032,0.0032,1.115162,1.116485,1.1072695000000001,1.0000000000000006e-05,2.6999999999999996e-05,4e-05,-0.00043799999999993844,-0.0003926138400859972,0.0008850000000000247,0.0007932950878451279,-0.008330499999999796,-0.007467282179992647
4275,Magas védelmû vegyes eszközalap,2026-01-02,1.1108,2026-01-02,1.1108,0.0,1.0,1.0054,0.0054,1.103466,1.1022939999999999,1.0965785,8.199999999999999e-05,3.2e-05,4.15e-05,-0.007333999999999952,-0.0066024486856319335,-0.008506000000000125,-0.00765754411235157,-0.014221500000000109,-0.012802934821750189
4276,Nemz. élelmiszeripari cégek rv. ea - D,2026-01-02,3.1416,2026-01-02,3.1416,0.0,1.0,1.0084,0.0084,3.155208,3.146777,3.1608885,0.00024400000000000005,0.000607,0.00014649999999999998,0.013608000000000064,0.004331550802139058,0.005177000000000209,0.0016478864272982587,0.01928850000000004,0.006139705882352954
4277,Nyersanyagpiaci részvény eszközalap,2026-01-02,1.4778,2026-01-02,1.4778,0.0,1.0,1.0332,0.0332,1.426938,1.4063979999999998,1.3695140000000001,0.001014,0.00017299999999999995,0.00018799999999999996,-0.05086199999999996,-0.03441737718229799,-0.07140200000000019,-0.04831641629449194,-0.10828599999999988,-0.07327513871971843
4278,Presztízs- és luxusmárkák rv. ea.,2026-01-02,3.6927,2026-01-02,3.6927,0.0,1.0,1.0354,0.0354,3.670442,3.6391850000000003,3.5560685000000003,0.00013799999999999988,-0.00012499999999999998,0.000371,-0.02225799999999989,-0.006027567904243478,-0.053514999999999535,-0.014492106047065707,-0.13663149999999957,-0.03700043328729644
4279,USA részvény eszközalap,2026-01-02,4.6264,2026-01-02,4.6264,0.0,1.0,1.0133,0.0133,4.624464000000001,4.601215,4.45249,0.0004620000000000001,-0.00030800000000000006,0.00012450000000000002,-0.0019359999999997157,-0.00041846792322317906,-0.025185000000000457,-0.005443757565277636,-0.17391000000000023,-0.03759078333045137
4280,Ázsia kötvény eszközalap,2026-01-02,2.2525,2026-01-02,2.2525,0.0,1.0,1.0226,0.0226,2.260738,2.263683,2.2405585,-0.00015999999999999993,4.6000000000000014e-05,0.0001415,0.008237999999999968,0.003657269700332949,0.011182999999999943,0.004964705882352916,-0.011941499999999827,-0.005301442841287382
4281,Aktív hozamfigyelõ vegyes eszközalap - D,2026-01-03,0.9521,2026-01-03,0.9521,0.0,1.0,1.005,0.005,0.9518420000000001,0.951713,0.94265,0.00013199999999999998,-7.999999999999998e-06,4.2499999999999996e-05,-0.00025799999999986944,-0.0002709799390818921,-0.0003869999999999152,-0.0004064699086229547,-0.009449999999999958,-0.009925428001260329
4282,Euró likviditás eszközalap - D,2026-01-03,0.9259,2026-01-03,0.9259,0.0,1.0,0.9988,-0.0012,0.925568,0.925836,0.9253125,2.2000000000000003e-05,3.1e-05,3.5000000000000016e-06,-0.00033199999999999896,-0.0003585700399611178,-6.399999999995298e-05,-6.912193541414082e-05,-0.000587499999999963,-0.0006345177664974221
4283,Európai ingatlancégek részv. eszközalap,2026-01-03,1.838,2026-01-03,1.838,0.0,1.0,0.9237,-0.0763,1.815884,1.8287520000000002,1.838135,0.00034800000000000016,0.000361,-0.0002415,-0.022116000000000025,-0.012032644178454855,-0.009247999999999923,-0.005031556039172972,0.00013499999999999623,7.344940152339294e-05
4284,Európai kötvény eszközalap - D,2026-01-03,1.2316,2026-01-03,1.2316,0.0,1.0,0.9928,-0.0072,1.23182,1.234042,1.2316605,5.399999999999997e-05,0.00012099999999999997,-9.50000000000001e-06,0.00021999999999988695,0.00017862942513794004,0.0024420000000000552,0.001982786619032198,6.050000000001887e-05,4.9123091912974075e-05
4285,Európai részvény eszközalap,2026-01-03,2.7163,2026-01-03,2.7163,0.0,1.0,1.0131,0.0131,2.672706,2.6625599999999996,2.5965204999999996,0.000416,0.00013399999999999992,0.00016299999999999998,-0.04359400000000013,-0.016049037293377068,-0.05374000000000034,-0.01978426536096909,-0.11977950000000037,-0.044096565180576655
4286,Európai vállalati kötvény eszközalap,2026-01-03,1.3254,2026-01-03,1.3254,0.0,1.0,1.0015,0.0015,1.325188,1.3272050000000002,1.3235895,3.6000000000000014e-05,5.3000000000000014e-05,2.5500000000000003e-05,-0.00021199999999987895,-0.0001599517126904172,0.0018050000000002786,0.0013618530255019457,-0.0018104999999999372,-0.0013660027161611116
4287,Fejlõdõ piaci részvény ESG eszközalap-D,2026-01-03,1.1454,2026-01-03,1.1454,0.0,1.0,0.9889,-0.0111,1.140388,1.139823,1.096171,-0.00030599999999999996,-0.0006850000000000001,-2.1499999999999957e-05,-0.0050120000000000164,-0.004375763925266297,-0.005576999999999943,-0.004869041382922947,-0.04922899999999997,-0.0429797450672254
4288,Fejlõdõ ázsiai részvény eszközalap,2026-01-03,2.415,2026-01-03,2.415,0.0,1.0,1.1051,0.1051,2.38643,2.372051,2.2429135,-0.00017600000000000005,0.000169,0.00040500000000000003,-0.028570000000000206,-0.011830227743271306,-0.042949000000000126,-0.01778426501035202,-0.17208650000000025,-0.07125734989648043
4289,Fenntartható növekedés részvény eszk.,2026-01-03,3.1866,2026-01-03,3.1866,0.0,1.0,0.9738,-0.0262,3.1819120000000005,3.178768,3.1182694999999994,0.0002639999999999999,-0.00015299999999999998,-7.649999999999998e-05,-0.004687999999999359,-0.0014711604845287641,-0.007832000000000061,-0.0024577920040168397,-0.06833050000000052,-0.021443074122889764
4290,Globális egészségügyi részvény eszk.,2026-01-03,3.5973,2026-01-03,3.5973,0.0,1.0,1.1064,0.1064,3.574234,3.479554,3.3453005,0.0001380000000000001,0.000894,0.0004725,-0.02306600000000003,-0.006412031245656473,-0.11774600000000035,-0.0327317710505102,-0.25199950000000015,-0.07005240041141972
4291,Globális növekedési részvény eszközalap,2026-01-03,2.1282,2026-01-03,2.1282,0.0,1.0,0.9285,-0.0715,2.14128,2.159569,2.191865,0.00043200000000000004,-0.00017500000000000005,-0.0002685,0.01307999999999998,0.0061460389061178365,0.03136899999999976,0.014739686119725476,0.06366499999999986,0.02991495160229295
4292,Kiegyensúlyozott vegyes eszközalap - D,2026-01-03,1.4382,2026-01-03,1.4382,0.0,1.0,1.015,0.015,1.4346160000000001,1.434023,1.4120145,0.00011599999999999996,9.999999999999676e-07,0.0001065,-0.0035839999999998096,-0.0024920038937559516,-0.004176999999999875,-0.0029043248505074924,-0.026185499999999973,-0.01820713391739673
4293,Latin-amerikai részvény eszközalap,2026-01-03,1.2487,2026-01-03,1.2487,0.0,1.0,1.0716,0.0716,1.24172,1.2068599999999998,1.150186,0.00020400000000000003,-5.300000000000004e-05,0.000425,-0.006979999999999986,-0.0055898134059421695,-0.0418400000000001,-0.03350684712100593,-0.09851399999999999,-0.0788932489789381
4294,Magas kötvény arányú vegyes eszk. - D,2026-01-03,1.1156,2026-01-03,1.1156,0.0,1.0,1.0032,0.0032,1.115144,1.116606,1.1073975,7.400000000000001e-05,4.2e-05,4.35e-05,-0.00045600000000001195,-0.00040874865543206524,0.0010060000000000624,0.0009017569021155095,-0.00820249999999989,-0.007352545715310049
4295,Magas védelmû vegyes eszközalap,2026-01-03,1.1108,2026-01-03,1.1108,0.0,1.0,1.0054,0.0054,1.103614,1.102473,1.0966885,0.000128,4.6e-05,4.9e-05,-0.007185999999999915,-0.006469211379186096,-0.008326999999999973,-0.007496398991717657,-0.014111500000000055,-0.012703907093986366
4296,Nemz. élelmiszeripari cégek rv. ea - D,2026-01-03,3.1416,2026-01-03,3.1416,0.0,1.0,1.0084,0.0084,3.1554319999999993,3.14722,3.1604940000000004,0.0003560000000000001,0.000605,0.00014849999999999998,0.0138319999999994,0.004402852049910683,0.005619999999999958,0.001788897377132658,0.01889400000000041,0.006014132925897762
4297,Nyersanyagpiaci részvény eszközalap,2026-01-03,1.4778,2026-01-03,1.4778,0.0,1.0,1.0332,0.0332,1.428664,1.407463,1.3703845,0.0012059999999999998,0.00020299999999999995,0.00021049999999999997,-0.04913600000000007,-0.033249424820679434,-0.0703370000000001,-0.04759575043984307,-0.10741550000000011,-0.07268608742725681
4298,Presztízs- és luxusmárkák rv. ea.,2026-01-03,3.6927,2026-01-03,3.6927,0.0,1.0,1.0354,0.0354,3.67132,3.6408229999999997,3.5580935,0.00024399999999999991,-2.699999999999998e-05,0.0004025,-0.021379999999999733,-0.005789801500257192,-0.05187700000000017,-0.014048528177214551,-0.13460649999999985,-0.03645205405259021
4299,USA részvény eszközalap,2026-01-03,4.6264,2026-01-03,4.6264,0.0,1.0,1.0133,0.0133,4.625084,4.602476,4.455148,0.00041800000000000013,-0.00030700000000000004,0.00013900000000000002,-0.0013160000000000949,-0.0002844544354141654,-0.023924000000000056,-0.005171191423136792,-0.17125199999999996,-0.03701625453916651
4300,Ázsia kötvény eszközalap,2026-01-03,2.2525,2026-01-03,2.2525,0.0,1.0,1.0226,0.0226,2.2604480000000002,2.263856,2.2407705,-0.00010799999999999994,2.6000000000000022e-05,0.000125,0.007948000000000288,0.0035285238623752667,0.011356000000000144,0.005041509433962328,-0.011729499999999948,-0.005207325194228612
4301,Aktív hozamfigyelõ vegyes eszközalap - D,2026-01-04,0.9521,2026-01-04,0.9521,0.0,1.0,1.005,0.005,0.951856,0.9518220000000001,0.942802,0.00013199999999999998,-3.2e-05,4.2499999999999996e-05,-0.00024399999999991095,-0.0002562756013022907,-0.00027799999999988945,-0.0002919861359099774,-0.009297999999999917,-0.009765780905366997
