id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,yield_ratio,growth_factor,cumulative_growth,yield_ratio_cumprod,value_ma_50d,value_ma_100d,value_ma_200d,yield_ma_50d,yield_ma_100d,yield_ma_200d,ma50_diff,ma50_diff_ratio,ma100_diff,ma100_diff_ratio,ma200_diff,ma200_diff_ratio
7409,Fenntartható növekedés részvény eszk.,2026-06-08,3.2159,2026-06-08,3.2159,0.0,1.0,0.9557,-0.0443,3.1723839999999996,3.080589,3.1238029999999997,0.0006719999999999999,0.00015200000000000006,5.199999999999999e-05,-0.04351600000000033,-0.013531515283435533,-0.13531100000000018,-0.04207562424204738,-0.09209700000000032,-0.028638017351285898
7410,Globális egészségügyi részvény eszk.,2026-06-08,3.4689,2026-06-08,3.4689,0.0,1.0,1.1167,0.1167,3.3896659999999996,3.4192219999999995,3.516591,0.000826,-6.999999999999998e-05,8.750000000000004e-05,-0.07923400000000047,-0.02284124650465579,-0.049678000000000555,-0.014320966300556532,0.04769099999999993,0.013748162241632772
7411,Globális növekedési részvény eszközalap,2026-06-08,2.1758,2026-06-08,2.1758,0.0,1.0,0.8975,-0.1025,2.164808,2.1168630000000004,2.12952,-5.9999999999999913e-05,-0.000308,-6.5e-06,-0.010992000000000335,-0.005051934920489169,-0.058936999999999795,-0.027087508043018564,-0.04628000000000032,-0.02127033734718279
7412,Kiegyensúlyozott vegyes eszközalap - D,2026-06-08,1.4973,2026-06-08,1.4973,0.0,1.0,1.0325,0.0325,1.4810720000000002,1.452004,1.4485535,0.000302,0.00010800000000000001,0.00015450000000000001,-0.01622799999999991,-0.010838175382354844,-0.045296,-0.030251786549121754,-0.048746500000000026,-0.032556267948974836
7413,Latin-amerikai részvény eszközalap,2026-06-08,1.3356,2026-06-08,1.3356,0.0,1.0,1.1621,0.1621,1.4169379999999998,1.4219459999999997,1.373989,-0.0019320000000000001,-0.0002580000000000001,0.000516,0.08133799999999991,0.06089997005091338,0.08634599999999981,0.0646495956873314,0.038389000000000006,0.028742887091943704
7414,Magas kötvény arányú vegyes eszk. - D,2026-06-08,1.134,2026-06-08,1.134,0.0,1.0,1.0121,0.0121,1.127306,1.115977,1.1181725,0.000174,-5.000000000000002e-06,8.549999999999999e-05,-0.006693999999999978,-0.00590299823633155,-0.0180229999999999,-0.01589329805996464,-0.015827499999999883,-0.013957231040564273
7415,Magas védelmû vegyes eszközalap,2026-06-08,1.1203,2026-06-08,1.1203,0.0,1.0,1.0185,0.0185,1.115826,1.1132819999999999,1.1138265,8.799999999999998e-05,3.2e-05,0.00011049999999999999,-0.004474000000000089,-0.003993573150049173,-0.007018000000000191,-0.006264393466036053,-0.006473500000000021,-0.005778362938498635
7416,Nemz. élelmiszeripari cégek rv. ea - D,2026-06-08,3.3273,2026-06-08,3.3273,0.0,1.0,1.1219,0.1219,3.341494,3.342083,3.3005885,0.0015000000000000002,6.600000000000003e-05,0.0006205000000000001,0.014193999999999818,0.004265921317584773,0.01478299999999999,0.004442941724521381,-0.02671150000000022,-0.008027980644967457
7417,Nyersanyagpiaci részvény eszközalap,2026-06-08,1.6632,2026-06-08,1.6632,0.0,1.0,1.0769,0.0769,1.6675200000000001,1.6487120000000002,1.5919139999999998,-0.0009619999999999997,-0.000511,0.0005835,0.0043200000000001015,0.0025974025974026585,-0.014487999999999834,-0.008710918710918612,-0.07128600000000018,-0.04286075036075047
7418,Presztízs- és luxusmárkák rv. ea.,2026-06-08,3.4715,2026-06-08,3.4715,0.0,1.0,1.1151,0.1151,3.3884880000000006,3.373583,3.5238735,0.0008919999999999999,0.00051,0.0005700000000000001,-0.0830119999999992,-0.023912429785395133,-0.09791699999999981,-0.028205962840270722,0.052373500000000295,0.015086706034855336
7419,USA részvény eszközalap,2026-06-08,4.901,2026-06-08,4.901,0.0,1.0,1.0124,0.0124,4.881028,4.684013,4.650822,0.0007059999999999999,0.00023999999999999987,0.00017249999999999994,-0.0199720000000001,-0.004075086716996552,-0.2169869999999996,-0.04427402570903889,-0.250178,-0.05104631707814732
7420,Ázsia kötvény eszközalap,2026-06-08,2.2731,2026-06-08,2.2731,0.0,1.0,1.0494,0.0494,2.262454,2.265367,2.2609909999999998,0.00035400000000000015,6.6e-05,7.500000000000001e-05,-0.010645999999999933,-0.004683471910606632,-0.00773299999999999,-0.003401962078219168,-0.012109000000000147,-0.0053270863578373795
7421,Aktív hozamfigyelõ vegyes eszközalap - D,2026-06-09,0.9524,2026-06-10,0.953,0.0007,1.0007,0.9983,-0.0017,0.951636,0.9427719999999999,0.9484830000000001,0.00010000000000000003,-8.9e-05,5.000000000000009e-06,-0.0013639999999999208,-0.0014312696747113545,-0.010228000000000015,-0.010732423924449125,-0.004516999999999882,-0.0047397691500523425
7422,Euró likviditás eszközalap - D,2026-06-09,0.9232,2026-06-10,0.9237,0.0005,1.0005,0.9978,-0.0022,0.9231540000000001,0.9227979999999999,0.92485,6.000000000000011e-06,-3.599999999999999e-05,-2.499999999999999e-06,-0.0005459999999998244,-0.0005911010068202062,-0.0009020000000000694,-0.0009765075240879825,0.0011499999999999844,0.0012449929630832352
7423,Európai ingatlancégek részv. eszközalap,2026-06-09,1.7903,2026-06-10,1.8008,0.0059,1.0059,0.9962,-0.0038,1.839894,1.8442269999999998,1.8615795,-0.0006539999999999996,-0.000412,0.000567,0.03909399999999996,0.0217092403376277,0.04342699999999988,0.024115393158596114,0.060779499999999986,0.03375138827187916
7424,Európai kötvény eszközalap - D,2026-06-09,1.2251,2026-06-10,1.2259,0.0006,1.0006,0.9938,-0.0062,1.224344,1.223295,1.2294289999999999,6.799999999999996e-05,-0.00010200000000000001,1.6999999999999983e-05,-0.0015559999999998908,-0.001269271555591721,-0.0026049999999999685,-0.0021249694102291935,0.0035289999999998933,0.0028787013622643717
7425,Európai részvény eszközalap,2026-06-09,2.9545,2026-06-10,2.9484,-0.0021,0.9979,1.096,0.096,2.8818740000000003,2.8199039999999997,2.7928295000000003,0.00046800000000000015,0.00043500000000000006,0.000624,-0.06652599999999964,-0.022563424230090775,-0.12849600000000017,-0.04358160358160364,-0.1555704999999996,-0.05276438068104722
7426,Európai vállalati kötvény eszközalap,2026-06-09,1.3259,2026-06-10,1.3269,0.0007,1.0007,1.0106,0.0106,1.323982,1.320865,1.3253045,6.599999999999996e-05,1.9999999999999978e-05,5.399999999999999e-05,-0.002917999999999976,-0.002199110709171736,-0.006035000000000013,-0.004548195041073188,-0.001595499999999861,-0.0012024267088701945
7427,Fejlõdõ piaci részvény ESG eszközalap-D,2026-06-09,1.3205,2026-06-10,1.3163,-0.0031,0.9969,1.0322,0.0322,1.310866,1.257021,1.222479,-0.0004759999999999999,-0.00012999999999999983,0.0002940000000000001,-0.005433999999999939,-0.004128238243561452,-0.05927900000000008,-0.045034566588163856,-0.09382099999999993,-0.07127630479373998
7428,Fejlõdõ ázsiai részvény eszközalap,2026-06-09,3.181,2026-06-10,3.276,0.0299,1.0299,1.3064,0.3064,3.229352,3.039493,2.798778,-0.00012200000000000023,0.000521,0.0010145,-0.0466479999999998,-0.01423931623931618,-0.23650700000000002,-0.07219383394383395,-0.4772219999999998,-0.1456721611721611
7429,Fenntartható növekedés részvény eszk.,2026-06-09,3.2214,2026-06-10,3.2134,-0.0025,0.9975,0.9533,-0.0467,3.174608,3.0817940000000004,3.1241179999999997,0.0006219999999999998,0.00012700000000000005,-7.500000000000013e-06,-0.03879199999999994,-0.012071948714756935,-0.13160599999999967,-0.04095537436982625,-0.0892820000000003,-0.027784278334474482
7430,Globális egészségügyi részvény eszk.,2026-06-09,3.4635,2026-06-10,3.4453,-0.0052,0.9948,1.1109,0.1109,3.389376,3.41697,3.5161115,0.0007220000000000001,-0.00012199999999999998,6.550000000000003e-05,-0.055924000000000085,-0.01623196818854674,-0.028329999999999966,-0.008222796273183747,0.07081150000000003,0.02055307230139611
